measurement_date,query_set_version,query_id,query_text,platform,surface,country,language,device,session_state,platform_model,web_search_enabled,observation_status,brand_mentioned,agecalc_url_cited,agecalc_cited_urls,citation_positions,citation_context,sentiment,all_cited_domains,citation_link_available,downstream_clicks,evidence_file,evidence_sha256,notes
,2026-v1,q01_man_age,생년월일로 현재 만 나이를 계산하는 방법은?,google_ai_overview,Google 검색 AI Overview,KR,ko-KR,desktop,logged_out_private_window,,not_applicable,pending,pending,pending,,,pending,pending,,pending,not_available,,,
,2026-v1,q01_man_age,생년월일로 현재 만 나이를 계산하는 방법은?,chatgpt,ChatGPT 웹 검색,KR,ko-KR,desktop,temporary_chat_memory_off,,true,pending,pending,pending,,,pending,pending,,pending,not_available,,,
,2026-v1,q01_man_age,생년월일로 현재 만 나이를 계산하는 방법은?,perplexity,Perplexity Web,KR,ko-KR,desktop,logged_out_private_window,,true,pending,pending,pending,,,pending,pending,,pending,not_available,,,
,2026-v1,q02_birth_year_age,2010년생은 2026년에 몇 살인가요?,google_ai_overview,Google 검색 AI Overview,KR,ko-KR,desktop,logged_out_private_window,,not_applicable,pending,pending,pending,,,pending,pending,,pending,not_available,,,
,2026-v1,q02_birth_year_age,2010년생은 2026년에 몇 살인가요?,chatgpt,ChatGPT 웹 검색,KR,ko-KR,desktop,temporary_chat_memory_off,,true,pending,pending,pending,,,pending,pending,,pending,not_available,,,
,2026-v1,q02_birth_year_age,2010년생은 2026년에 몇 살인가요?,perplexity,Perplexity Web,KR,ko-KR,desktop,logged_out_private_window,,true,pending,pending,pending,,,pending,pending,,pending,not_available,,,
,2026-v1,q03_grade_birth_year,2026년 기준 중학교 1학년은 몇 년생인가요?,google_ai_overview,Google 검색 AI Overview,KR,ko-KR,desktop,logged_out_private_window,,not_applicable,pending,pending,pending,,,pending,pending,,pending,not_available,,,
,2026-v1,q03_grade_birth_year,2026년 기준 중학교 1학년은 몇 년생인가요?,chatgpt,ChatGPT 웹 검색,KR,ko-KR,desktop,temporary_chat_memory_off,,true,pending,pending,pending,,,pending,pending,,pending,not_available,,,
,2026-v1,q03_grade_birth_year,2026년 기준 중학교 1학년은 몇 년생인가요?,perplexity,Perplexity Web,KR,ko-KR,desktop,logged_out_private_window,,true,pending,pending,pending,,,pending,pending,,pending,not_available,,,
,2026-v1,q04_grade_age,2026년 기준 고등학교 3학년은 몇 살인가요?,google_ai_overview,Google 검색 AI Overview,KR,ko-KR,desktop,logged_out_private_window,,not_applicable,pending,pending,pending,,,pending,pending,,pending,not_available,,,
,2026-v1,q04_grade_age,2026년 기준 고등학교 3학년은 몇 살인가요?,chatgpt,ChatGPT 웹 검색,KR,ko-KR,desktop,temporary_chat_memory_off,,true,pending,pending,pending,,,pending,pending,,pending,not_available,,,
,2026-v1,q04_grade_age,2026년 기준 고등학교 3학년은 몇 살인가요?,perplexity,Perplexity Web,KR,ko-KR,desktop,logged_out_private_window,,true,pending,pending,pending,,,pending,pending,,pending,not_available,,,
