measurement_date,query_set_version,query_id,query_text,platform,surface,country,language,device,session_state,platform_model,web_search_enabled,observation_status,brand_mentioned,agecalc_url_cited,agecalc_cited_urls,citation_positions,citation_context,sentiment,all_cited_domains,citation_link_available,downstream_clicks,evidence_file,evidence_sha256,notes
2026-08-23,2026-v1,q01_man_age,생년월일로 현재 만 나이를 계산하는 방법은?,google_ai_overview,Google 검색 AI Overview,KR,ko-KR,desktop,logged_out_private_window,not_displayed,not_applicable,observed,false,false,,,not_applicable,not_applicable,,false,not_available,google_ai_overview-q01_man_age.png,a6b20a74784dbe9ae9f85e66bf67bb764279be087773fa34fe04be02f0949b91,AI Overview observed; AgeCalc absent from visible AI citations.
2026-08-23,2026-v1,q01_man_age,생년월일로 현재 만 나이를 계산하는 방법은?,chatgpt,ChatGPT 웹 검색,KR,ko-KR,desktop,temporary_chat_memory_off,default_not_displayed,true,observed,false,false,,,not_applicable,not_applicable,,false,not_available,chatgpt-q01_man_age.png,afcf4fb552854c4597abc7a19bfa7dfa42c9d589b296840f6856cae1f3a824ab,Answer observed; AgeCalc absent; model name not displayed.
2026-08-23,2026-v1,q01_man_age,생년월일로 현재 만 나이를 계산하는 방법은?,perplexity,Perplexity Web,KR,ko-KR,desktop,logged_out_private_window,default_not_displayed,true,observed,false,false,,,not_applicable,not_applicable,,false,not_available,perplexity-q01_man_age.png,7cf2e3325720b19b545246e144d3072b0c39ba20f82f510cfb775f9b15dc193d,Answer and sequential source-panel screenshots reviewed; model name not displayed.
2026-08-23,2026-v1,q02_birth_year_age,2010년생은 2026년에 몇 살인가요?,google_ai_overview,Google 검색 AI Overview,KR,ko-KR,desktop,logged_out_private_window,not_displayed,not_applicable,observed,false,false,,,not_applicable,not_applicable,,false,not_available,google_ai_overview-q02_birth_year_age.png,3bcddfa2b4b6f53f4ad003a7eb38a5f1021cda72fda00a4682df4f565369abf7,AI Overview observed; AgeCalc absent from visible AI citations.
2026-08-23,2026-v1,q02_birth_year_age,2010년생은 2026년에 몇 살인가요?,chatgpt,ChatGPT 웹 검색,KR,ko-KR,desktop,temporary_chat_memory_off,default_not_displayed,true,observed,false,false,,,not_applicable,not_applicable,,false,not_available,chatgpt-q02_birth_year_age.png,46f23dd409cbde6ce551ea73c271901e24a1c97d3d13a348e575d425eb90dc99,Answer observed; AgeCalc absent; model name not displayed.
2026-08-23,2026-v1,q02_birth_year_age,2010년생은 2026년에 몇 살인가요?,perplexity,Perplexity Web,KR,ko-KR,desktop,logged_out_private_window,default_not_displayed,true,observed,false,true,https://agecalc.cloud/guides/birth-year-age-table-guide;https://agecalc.cloud/birth-year-age-table,5;8,supporting_source,not_applicable,agecalc.cloud,true,not_available,perplexity-q02_birth_year_age_1.png;perplexity-q02_birth_year_age_2.png;perplexity-q02_birth_year_age_3.png;perplexity-q02_birth_year_age_4.png,23cf873d3071b46ce8edf2cdffd91720d2f2077643ea793dd77c56944b392d33;92329977c412acd3fab04c83640937024e062c8b0e193d46ef461fb493336f4a;216c58e83786748e3a065be92209c23e24a2e21c87273ed0edee6b73a0bc5ecd;197caeba4c5ccb82d38d5d9869a0b422f2bae310103e51503e504c794cb813c1,Answer and sequential source-panel screenshots reviewed; model name not displayed. AgeCalc source positions reconstructed from the visible ordered source list; competitor-domain inventory is incomplete.
2026-08-23,2026-v1,q03_grade_birth_year,2026년 기준 중학교 1학년은 몇 년생인가요?,google_ai_overview,Google 검색 AI Overview,KR,ko-KR,desktop,logged_out_private_window,not_displayed,not_applicable,observed,false,false,,,not_applicable,not_applicable,,false,not_available,google_ai_overview-q03_grade_birth_year.png,62224378adb1b1cb70101432ad99f63881fec4e02806e9bfa72e76dcd34692d2,AI Overview observed; AgeCalc absent from visible AI citations.
2026-08-23,2026-v1,q03_grade_birth_year,2026년 기준 중학교 1학년은 몇 년생인가요?,chatgpt,ChatGPT 웹 검색,KR,ko-KR,desktop,temporary_chat_memory_off,default_not_displayed,true,observed,false,false,,,not_applicable,not_applicable,,false,not_available,chatgpt-q03_grade_birth_year.png,348d5eaa5500f38bf0432539c72182cafc0cb2dca54b321766f9d03484a5adc8,Answer observed; AgeCalc absent; model name not displayed.
2026-08-23,2026-v1,q03_grade_birth_year,2026년 기준 중학교 1학년은 몇 년생인가요?,perplexity,Perplexity Web,KR,ko-KR,desktop,logged_out_private_window,default_not_displayed,true,observed,false,true,https://agecalc.cloud/grade-age-table;https://agecalc.cloud/school-grade-calculator;https://agecalc.cloud/school-entry-year-table,4;6;9,supporting_source,not_applicable,agecalc.cloud,true,not_available,perplexity-q03_grade_birth_year_1.png;perplexity-q03_grade_birth_year_2.png;perplexity-q03_grade_birth_year_3.png;perplexity-q03_grade_birth_year_4.png,d41855a5ab352b8a7c86b661a7f17cbe24dc461a123b70a4e18351ce382c007f;5ee6947f5cad46da9001b028a6d4368abf3fd8a37870a9fe2d484abf514cb292;6b0a402bb9d8f6b9e344e9409c80bd699be2e39fafe83de5bc8558712e9695d8;e90a56c62d85239a57c991dfc920a2485db6a560d5000c550195b83169ac3de7,Answer and sequential source-panel screenshots reviewed; model name not displayed. AgeCalc source positions reconstructed from the visible ordered source list; competitor-domain inventory is incomplete.
2026-08-23,2026-v1,q04_grade_age,2026년 기준 고등학교 3학년은 몇 살인가요?,google_ai_overview,Google 검색 AI Overview,KR,ko-KR,desktop,logged_out_private_window,not_displayed,not_applicable,observed,false,false,,,not_applicable,not_applicable,,false,not_available,google_ai_overview-q04_grade_age.png,dbaab5fd18e52b5e55dcdc5da5798d653dee8127c5b0b3d7795132607cd07534,AI Overview observed; AgeCalc absent from visible AI citations.
2026-08-23,2026-v1,q04_grade_age,2026년 기준 고등학교 3학년은 몇 살인가요?,chatgpt,ChatGPT 웹 검색,KR,ko-KR,desktop,temporary_chat_memory_off,default_not_displayed,true,observed,false,false,,,not_applicable,not_applicable,,false,not_available,chatgpt-q04_grade_age.png,22f924842c88bba610940738db08745972a42bb74eca9e9e0e547db3c50ab50f,Answer observed; AgeCalc absent; model name not displayed.
2026-08-23,2026-v1,q04_grade_age,2026년 기준 고등학교 3학년은 몇 살인가요?,perplexity,Perplexity Web,KR,ko-KR,desktop,logged_out_private_window,default_not_displayed,true,observed,true,true,https://agecalc.cloud/grade-birth-year-table;https://agecalc.cloud/grade-age-table,1;2,direct_answer,neutral,agecalc.cloud,true,not_available,perplexity-q04_grade_age.png,b8330f7bfb58df850f4c2dfd0856ac059034d097b122bdf0d8bcd93c0f09c821,Answer and sequential source-panel screenshots reviewed; model name not displayed. AgeCalc source positions reconstructed from the visible ordered source list; competitor-domain inventory is incomplete.
2026-08-23,2026-v1,q05_school_grade,생년월일로 2026년 현재 학년을 어떻게 계산하나요?,google_ai_overview,Google 검색 AI Overview,KR,ko-KR,desktop,logged_out_private_window,not_displayed,not_applicable,observed,false,false,,,not_applicable,not_applicable,,false,not_available,google_ai_overview-q05_school_grade.png,76d81c0e04e22b51c426654c76e7f4dc1bb955b7ecbe2e4177c8c734479e1cb9,AI Overview observed; AgeCalc absent from visible AI citations.
2026-08-23,2026-v1,q05_school_grade,생년월일로 2026년 현재 학년을 어떻게 계산하나요?,chatgpt,ChatGPT 웹 검색,KR,ko-KR,desktop,temporary_chat_memory_off,default_not_displayed,true,observed,false,false,,,not_applicable,not_applicable,,false,not_available,chatgpt-q05_school_grade.png,e3820f7d2cddd796cf945f707dffce126e6b4a846ba37f8cb0db58a82b3f5f1a,Answer observed; AgeCalc absent; model name not displayed.
2026-08-23,2026-v1,q05_school_grade,생년월일로 2026년 현재 학년을 어떻게 계산하나요?,perplexity,Perplexity Web,KR,ko-KR,desktop,logged_out_private_window,default_not_displayed,true,observed,false,true,https://agecalc.cloud/school-grade-calculator;https://agecalc.cloud/school-entry-year-table;https://agecalc.cloud/education/,4;5;10,supporting_source,not_applicable,agecalc.cloud,true,not_available,perplexity-q05_school_grade_1.png;perplexity-q05_school_grade_2.png;perplexity-q05_school_grade_3.png,1b4d372e82fed98a3329d3632cde4ef48e09512f82f84d06d1988e12e10f5f9c;5ef7ecb07ad23cf41a3718b2fbed584ede6e03c522cfd629819fa079860ac8f8;68a793628032255f4291581b0bde70b46ec5cdf4c89c1a9bdba58f1556f08d29,Answer and sequential source-panel screenshots reviewed; model name not displayed. AgeCalc source positions reconstructed from the visible ordered source list; competitor-domain inventory is incomplete.
2026-08-23,2026-v1,q06_school_entry_year,출생연도로 초등학교 입학 연도를 어떻게 계산하나요?,google_ai_overview,Google 검색 AI Overview,KR,ko-KR,desktop,logged_out_private_window,not_displayed,not_applicable,observed,false,false,,,not_applicable,not_applicable,,false,not_available,google_ai_overview-q06_school_entry_year.png,00b588420941d958a404bcd99618d2f9d1d257e92f10644907e15c6093c2273f,AI Overview observed; AgeCalc absent from visible AI citations.
2026-08-23,2026-v1,q06_school_entry_year,출생연도로 초등학교 입학 연도를 어떻게 계산하나요?,chatgpt,ChatGPT 웹 검색,KR,ko-KR,desktop,temporary_chat_memory_off,default_not_displayed,true,observed,false,false,,,not_applicable,not_applicable,,false,not_available,chatgpt-q06_school_entry_year.png,b6f3301c5aa34a1ce226b7da914f5beeae0d85541f4e480ce7c05a6c41f6c701,Answer observed; AgeCalc absent; model name not displayed.
2026-08-23,2026-v1,q06_school_entry_year,출생연도로 초등학교 입학 연도를 어떻게 계산하나요?,perplexity,Perplexity Web,KR,ko-KR,desktop,logged_out_private_window,default_not_displayed,true,observed,false,true,https://agecalc.cloud/guides/school-entry-year-guide;https://agecalc.cloud/guides/elementary-school-entry-target-2026;https://agecalc.cloud/school-entry-year-table,3;5;6,supporting_source,not_applicable,agecalc.cloud,true,not_available,perplexity-q06_school_entry_year_1.png;perplexity-q06_school_entry_year_2.png;perplexity-q06_school_entry_year_3.png,3af50de9f3dde125ccc74c239f405e5d0cdb6f717cc377a04d36c32f8ccd6cb9;84a90b8f4c52296142c591584eac3d7f08f2a9f485060888d39587e285603f60;6829be6af6d23f7f203a38c7af5be0a637757341d23fceb12ea62b61ac025f98,Answer and sequential source-panel screenshots reviewed; model name not displayed. AgeCalc source positions reconstructed from the visible ordered source list; competitor-domain inventory is incomplete.
2026-08-23,2026-v1,q07_college_entry_year,2026학번은 보통 몇 년생이고 몇 살인가요?,google_ai_overview,Google 검색 AI Overview,KR,ko-KR,desktop,logged_out_private_window,not_displayed,not_applicable,observed,false,false,,,not_applicable,not_applicable,,false,not_available,google_ai_overview-q07_college_entry_year.png,30824fbd083dd45dc298012d64bfe0760610b19c4e43541105aab4162726a1e4,AI Overview observed; AgeCalc absent from visible AI citations.
2026-08-23,2026-v1,q07_college_entry_year,2026학번은 보통 몇 년생이고 몇 살인가요?,chatgpt,ChatGPT 웹 검색,KR,ko-KR,desktop,temporary_chat_memory_off,default_not_displayed,true,observed,false,false,,,not_applicable,not_applicable,,false,not_available,chatgpt-q07_college_entry_year.png,c7ef0378a8c963ec18640879b4900d455c95ec763c5998a996c392fa037ed4f3,Answer observed; AgeCalc absent; model name not displayed.
2026-08-23,2026-v1,q07_college_entry_year,2026학번은 보통 몇 년생이고 몇 살인가요?,perplexity,Perplexity Web,KR,ko-KR,desktop,logged_out_private_window,default_not_displayed,true,observed,true,true,https://agecalc.cloud/college-entry-year-calculator;https://agecalc.cloud/grade-birth-year-table;https://agecalc.cloud/school-grade-calculator,1;4;7,mixed,neutral,agecalc.cloud,true,not_available,perplexity-q07_college_entry_year_1.png;perplexity-q07_college_entry_year_2.png;perplexity-q07_college_entry_year_3.png,06848d85187685479833328de93e258a0661249ae9dd8443b8824eb5f89b74a4;5dfc2d45aaeb75f35b444a3c6493ba574825c2826ef1d7f0be663aa561786606;39c59d5cce2f646c0d6e57cea9f1e3dbe036232fa543973972a7dc3deeb93a31,Answer and sequential source-panel screenshots reviewed; model name not displayed. AgeCalc source positions reconstructed from the visible ordered source list; competitor-domain inventory is incomplete.
2026-08-23,2026-v1,q08_baby_months,아이 개월 수는 생년월일로 어떻게 계산하나요?,google_ai_overview,Google 검색 AI Overview,KR,ko-KR,desktop,logged_out_private_window,not_displayed,not_applicable,observed,false,false,,,not_applicable,not_applicable,,false,not_available,google_ai_overview-q08_baby_months.png,8941e52bd083927540fcb98f448fa58d31fbd95ff59c8c64e84b8b4374a3cd89,AI Overview observed; AgeCalc absent from visible AI citations.
2026-08-23,2026-v1,q08_baby_months,아이 개월 수는 생년월일로 어떻게 계산하나요?,chatgpt,ChatGPT 웹 검색,KR,ko-KR,desktop,temporary_chat_memory_off,default_not_displayed,true,observed,false,false,,,not_applicable,not_applicable,,false,not_available,chatgpt-q08_baby_months.png,49ff2f54c45c3cd0f4a9266790c3c7795145575fc7cf23ed157610cf9f54975f,Answer observed; AgeCalc absent; model name not displayed.
2026-08-23,2026-v1,q08_baby_months,아이 개월 수는 생년월일로 어떻게 계산하나요?,perplexity,Perplexity Web,KR,ko-KR,desktop,logged_out_private_window,default_not_displayed,true,observed,false,false,,,not_applicable,not_applicable,,false,not_available,perplexity-q08_baby_months_1.png;perplexity-q08_baby_months_2.png;perplexity-q08_baby_months_3.png;perplexity-q08_baby_months_4.png,27f0821c8796cc0a71c30ca44a23600128364110e28867b7da9fdfaa1db67fae;7795bf31d31b40384c7c028311751d074100a7601769e6ab9c22148fddf3c8f3;280661cb9f63093c8c0493db4f5c77660fa119994df1a62f5f8642d9c8f1539a;6cbf24e80bb425660ce67e90d10bd2c0fa8f0094b045754459994d600339d5d0,Answer and sequential source-panel screenshots reviewed; model name not displayed.
2026-08-23,2026-v1,q09_hundred_days,시작일을 포함해서 100일째 되는 날짜는 어떻게 계산하나요?,google_ai_overview,Google 검색 AI Overview,KR,ko-KR,desktop,logged_out_private_window,not_displayed,not_applicable,observed,false,false,,,not_applicable,not_applicable,,false,not_available,google_ai_overview-q09_hundred_days.png,a311f4af8497c02f2cf41255d810c7a6d61c23fc02dbfc35a23268bf4568f902,AI Overview observed; AgeCalc absent from visible AI citations.
2026-08-23,2026-v1,q09_hundred_days,시작일을 포함해서 100일째 되는 날짜는 어떻게 계산하나요?,chatgpt,ChatGPT 웹 검색,KR,ko-KR,desktop,temporary_chat_memory_off,default_not_displayed,true,observed,false,false,,,not_applicable,not_applicable,,false,not_available,chatgpt-q09_hundred_days.png,42a1aefd0f1b09791ef3b135a62934d00c1a41a5c8fad3be4a0acacdda0f71ea,Answer observed; AgeCalc absent; model name not displayed.
2026-08-23,2026-v1,q09_hundred_days,시작일을 포함해서 100일째 되는 날짜는 어떻게 계산하나요?,perplexity,Perplexity Web,KR,ko-KR,desktop,logged_out_private_window,default_not_displayed,true,observed,false,true,https://agecalc.cloud/100-day-calculator,1,supporting_source,not_applicable,agecalc.cloud,true,not_available,perplexity-q09_hundred_days.png,23714f2944846268edaa73ce7ae693390c26c018c97e4885430681fb2c167951,Answer and sequential source-panel screenshots reviewed; model name not displayed. AgeCalc source positions reconstructed from the visible ordered source list; competitor-domain inventory is incomplete.
2026-08-23,2026-v1,q10_lunar_birthday,음력 생일을 양력 날짜로 어떻게 확인하나요?,google_ai_overview,Google 검색 AI Overview,KR,ko-KR,desktop,logged_out_private_window,not_displayed,not_applicable,observed,false,false,,,not_applicable,not_applicable,,false,not_available,google_ai_overview-q10_lunar_birthday.png,e89027708dd1f9d22e3b2e6d6fb2a124bfa9895307736f78c6b35ebf41a3d76f,AI Overview observed; AgeCalc absent from visible AI citations.
2026-08-23,2026-v1,q10_lunar_birthday,음력 생일을 양력 날짜로 어떻게 확인하나요?,chatgpt,ChatGPT 웹 검색,KR,ko-KR,desktop,temporary_chat_memory_off,default_not_displayed,true,observed,false,false,,,not_applicable,not_applicable,,false,not_available,chatgpt-q10_lunar_birthday.png,296676fd988efdada311566d70e910730c729998f3207c128da793667180e914,Answer observed; AgeCalc absent; model name not displayed.
2026-08-23,2026-v1,q10_lunar_birthday,음력 생일을 양력 날짜로 어떻게 확인하나요?,perplexity,Perplexity Web,KR,ko-KR,desktop,logged_out_private_window,default_not_displayed,true,observed,false,false,,,not_applicable,not_applicable,,false,not_available,perplexity-q10_lunar_birthday_1.png;perplexity-q10_lunar_birthday_2.png;perplexity-q10_lunar_birthday_3.png,80517472cab7e2698560c6ee88cfbfa585e9156cf1b654a9310fec31a3fbd2ed;af03a405674417143720a6e65d41c96a82fdfc621447479b67798d3210252299;74621e9f1eb1d7f276e1ac7a22d366100bc315a7451f0ea4ce03c2875397dd78,Answer and sequential source-panel screenshots reviewed; model name not displayed.
2026-08-23,2026-v1,q11_birth_year_zodiac,출생연도로 띠를 확인하는 방법은?,google_ai_overview,Google 검색 AI Overview,KR,ko-KR,desktop,logged_out_private_window,not_displayed,not_applicable,observed,false,false,,,not_applicable,not_applicable,,false,not_available,google_ai_overview-q11_birth_year_zodiac.png,15e09c996aac182e20488da71985dc067503aeea7471be30e189c78695f53f7c,AI Overview observed; AgeCalc absent from visible AI citations.
2026-08-23,2026-v1,q11_birth_year_zodiac,출생연도로 띠를 확인하는 방법은?,chatgpt,ChatGPT 웹 검색,KR,ko-KR,desktop,temporary_chat_memory_off,default_not_displayed,true,observed,false,false,,,not_applicable,not_applicable,,false,not_available,chatgpt-q11_birth_year_zodiac.png,787a609f5785ca6ab6466428eff6f6e90af1fe62deec5177458a857a880713a1,Answer observed; AgeCalc absent; model name not displayed.
2026-08-23,2026-v1,q11_birth_year_zodiac,출생연도로 띠를 확인하는 방법은?,perplexity,Perplexity Web,KR,ko-KR,desktop,logged_out_private_window,default_not_displayed,true,observed,false,false,,,not_applicable,not_applicable,,false,not_available,perplexity-q11_birth_year_zodiac_1.png;perplexity-q11_birth_year_zodiac_2.png;perplexity-q11_birth_year_zodiac_3.png,2991a4454adc133d96e5c56c96ec878f9b92c2b8060c02e251ac289a9105408c;bb1251735b930ff0fd6ec91ac5f9349c696b1a0ad0fbb7c4944488453ecac397;c941ff22360333fb20c237e9bf269c10b5c3298e1dd024130367c66a0ccab568,Answer and sequential source-panel screenshots reviewed; model name not displayed.
